"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cell_001","Cell_002","Cell_003","Cell_004","Cell_005","Cell_006","Cell_007","Cell_008","Cell_009","Cell_010","Cell_011","Cell_012","Cell_013","Cell_014","Cell_015","Cell_016","Cell_017","Cell_018","Cell_019","Cell_020","Cell_021","Cell_022","Cell_023","Cell_024","Cell_025","Cell_026","Cell_027","Cell_028","Cell_029","Cell_030","Cell_031","Cell_032","Cell_033","Cell_034","Cell_035","Cell_036","Cell_037","Cell_038","Cell_039","Cell_040"
"1","Gene_0524",91.7306615722076,-25.9199202604899,1.54465376665423,-16.7804078946658,3.39496200857013e-63,4.17919823254983e-60,365.428368882431,2.02070570847212,0,0,0,2.94402093206193,759.911821715828,0,0.583478269712535,0,0,2.00332363601875,309.762307078645,0,1.50972996114245,3.98928825799605,1.04697610996237,0,4.44281920515668,0,0,0.237508246250533,0,4.11749329178038,4.87577424580711,0,0,1437.70444115122,0,0,760.978070605968,0,0,0.975221156293746,0,2.26188924499605,0.8977582838688,0,3.53546690469064,0
"2","Gene_1660",55.5982656468213,-25.2221707858766,1.89603757820381,-13.3025690396761,2.23649589898763e-40,1.37656322582689e-37,105.000211852797,0,0,538.668900734627,0,0,1.20620924081877,0,0.583478269712535,139.206617932149,0,0,0.660474002299883,0,0.754864980571226,0,0,0,2.22140960257834,0,0,0,0,0,476.850721239936,0,215.939576029792,196.732652557995,0,0,0,0,0,0,512.931133836301,33.1743755932754,0,0,0,0
"3","Gene_0476",85.100680889277,-25.8267344537006,2.02517932923177,-12.7528135809571,3.00693430677924e-37,9.25384032911312e-35,0,6.06211712541637,0,0,0,0,322.057867298613,0,0,763.111926280897,0,0,651.887840269984,0,0.754864980571226,0.997322064499012,0,0,4.44281920515668,0,0,0,0,0,0.975154849161423,0,0,0,0,0,0.337163522643318,0,0,916.707886916121,0.561193800696172,0.753963081665351,0,0,735.377116175654,0
"4","Gene_0772",125.790858603987,-26.3617302330964,2.06492610506521,-12.7664278970719,2.5247783692274e-37,9.25384032911312e-35,822.041132268606,0,0,0,0,141.313004738972,843.140259332323,0,0,210.613121431023,0,0,287.306191000449,0,0,0.997322064499012,1067.91563216161,0,195.484045026894,0,0,0,0,1.02937332294509,0,0,0,0.555741956378516,0,0,0,0,0,0,0,1352.60976850764,108.628752348125,0,0,0
"5","Gene_1324",23.0451820014324,-24.0342536381296,1.89351497558136,-12.6929303164082,6.47182718588593e-37,1.59336385316512e-34,163.717435586269,2.02070570847212,0.845983894490047,224.33975395301,0,0,262.953614498493,0,0.583478269712535,0,0,8.01329454407499,0,0,0,0.997322064499012,0,0.766247560689645,0,0,0,0,0,255.284584090383,0.975154849161423,0,0,0.555741956378516,0,0,0,0,0,0,0,0.753963081665351,0,0,0,0
"6","Gene_1822",122.823139823298,-26.3254412469406,2.08351819378283,-12.6350906488338,1.35238207525045e-36,2.77463722438884e-34,0.69079086745261,0,0,414.458189506407,0,0,0,0,0.583478269712535,0,0,0,0.660474002299883,0,0,0,146.576655394731,832.911098469644,0,0,0,0,0,544.538487837955,904.9437000218,0,0,740.248285896184,0,0,0,0,0,0.975221156293746,80.2507134995526,0,1246.08849800989,0,0,0
"7","Gene_0127",126.662442988917,-26.3707471868139,2.09179437792031,-12.6067588024746,1.93800507120767e-36,3.40812034665235e-34,0.69079086745261,2.02070570847212,0,2231.99043339689,0,0,0,0,1.16695653942507,0,0,2.00332363601875,5.28379201839906,0,0,1.99464412899802,0,0,2.22140960257834,0,0,0,0,696.885739633829,0,0,0,728.021962855856,0,0,0,0,1391.780416685,0,1.68358140208852,0.753963081665351,0,0,0,0
"8","Gene_1465",106.156172212319,-26.1334786470667,2.25208091532459,-11.604147288509,3.92581346545464e-31,6.04084546996833e-29,486.316770686638,0,1.69196778898009,114.071061332039,0,0,0,0,0,0,0,0,0,0,0,0.997322064499012,4.18790443984946,1.53249512137929,0,0,0,0.7125247387516,0,380.868129489685,0,0,0,0,0,0,0,0,0,1298.01935902698,0.561193800696172,1957.28816000325,0,0,0,0
"9","Gene_1726",42.7211009576956,-24.8868511336749,2.15369472408719,-11.5554218781972,6.93062919274871e-31,9.47956059585962e-29,0.69079086745261,0,0,0,0,41.216293048867,790.067052736297,0,0.583478269712535,0,0,2.00332363601875,0,0,0,0,1517.06838333547,0,570.902267862633,1587.18399390416,0,0,0,44.263052886639,0.975154849161423,0,0,0,0,0,249.838170278698,0,0,0,1.12238760139234,0,7.1820662709504,0,0,0
"10","Gene_0477",53.8036592414927,-25.2015734205277,2.18657469835217,-11.5255945472707,9.80331218454325e-31,1.20678772991727e-28,0.69079086745261,0,120.129713017587,0,0,1.47201046603096,768.355286401559,0,0,0,0,0,0,0,0,0,0,146.353284091722,2.22140960257834,0,0,0.237508246250533,0,0,0,0,0,812.494740225391,0,0,0.337163522643318,0,0,0,0,0.753963081665351,0,0,299.100500136828,0
