"","logFC","logCPM","PValue","FDR"
"FBgn0039155",4.60779971625679,5.88260608181911,1.859142809403e-151,1.49772544725506e-147
"FBgn0025111",-2.90621529199649,6.92491742851807,5.47417310224395e-103,2.20499692558386e-99
"FBgn0003360",3.17236962933938,8.45160256207036,5.17668710703517e-81,1.39011304447585e-77
"FBgn0039827",4.14859489108717,4.39939432912082,9.7203370443632e-69,1.95767588073475e-65
"FBgn0035085",2.55173188912297,5.68585604352008,3.17178818681426e-65,5.11038512659514e-62
"FBgn0029167",2.19070034891886,8.22293458403739,6.18502101050919e-59,8.30442154344368e-56
"FBgn0034736",3.49963280965043,4.18920108889402,1.04417110393498e-54,1.2016917733286e-51
"FBgn0029896",2.43897559279994,5.30816441305465,4.8953340416175e-51,4.92960137990882e-48
"FBgn0000071",-2.68359942561163,4.79613684118728,1.61071364374564e-48,1.44176767933498e-45
"FBgn0034434",3.62812512476065,3.21564385183207,3.41041012442325e-40,2.74742639623537e-37
"FBgn0033764",-3.40476131462053,2.44619188796578,3.12508067901287e-35,2.28869545001161e-32
"FBgn0038832",2.53136776254025,4.61696672631573,1.21186175676358e-34,8.13563192707284e-32
"FBgn0051092",-2.3325393992823,3.64573969169802,5.65170043704379e-34,3.50231528621729e-31
"FBgn0040091",1.56814500238598,6.48072292151111,4.31543143511147e-33,2.48322254580414e-30
"FBgn0034897",1.91573073975404,6.17095424368424,1.30893473526477e-32,7.02985215152864e-30
"FBgn0035189",-2.97666571640276,4.12838161414207,2.24929267614379e-32,1.1325188624384e-29
"FBgn0085359",4.86992265515404,2.53870895967659,3.12759892679996e-32,1.48211393848827e-29
"FBgn0024288",4.54449520044105,2.27222509762989,4.78595445283536e-32,2.14198050400231e-29
"FBgn0003501",-2.1572907835972,4.49676737065858,2.64740649128918e-31,1.12250035230661e-28
"FBgn0032405",-2.67215073355734,2.72117270339886,9.37804959781684e-30,3.77747837800062e-27
"FBgn0052407",2.1964061929084,3.93416236676103,1.58191566760332e-25,6.06852981819634e-23
"FBgn0001224",-1.49209577217004,5.60144070239685,3.10707562789682e-25,1.13775460265167e-22
"FBgn0040827",1.98457815500215,4.1380121921445,1.36390058808578e-24,4.77721005983438e-22
"FBgn0026562",2.35543676882041,11.7891449051822,2.33108969255731e-23,7.82469106801737e-21
"FBgn0037754",2.33194729897893,4.46075179295218,2.97505561443264e-23,9.58681921194773e-21
"FBgn0023479",1.52013994763218,7.96324299774558,5.16781855399399e-23,1.59375146823077e-20
"FBgn0001226",-1.72452778821239,6.74277330582911,5.34152056134939e-23,1.59375146823077e-20
"FBgn0037290",-3.01398176353568,2.5030744335191,8.76546699141823e-23,2.52195007438804e-20
"FBgn0034010",1.44587225281722,5.46724504197687,1.3961282630843e-22,3.87834803014039e-20
"FBgn0040099",1.77432622599102,6.20294793279606,2.76387873790465e-22,7.42193570418662e-20
"FBgn0261552",1.89142842024964,8.69352210922377,6.30428394951517e-22,1.63830037088046e-19
