"","logFC","logCPM","PValue","FDR"
"ENSG00000198336.4",10.2476492157915,5.21587401656022,1.14813133268093e-16,2.4310532838186e-12
"ENSG00000109063.9",9.61062988239858,4.73668619383045,8.75659892503805e-13,9.27061128193779e-09
"ENSG00000172995.12",9.61620788472007,4.67478678624473,9.98047907344595e-12,7.04422213003815e-08
"ENSG00000122180.4",9.88944049604258,5.25398926538094,1.45548181093603e-11,7.7045929661899e-08
"ENSG00000155657.19",8.77612184793679,4.17356002607776,1.00817886993539e-10,4.26943587840241e-07
"ENSG00000187616.4",8.74594065927045,4.45779803874969,1.4235029389695e-10,5.02354187162338e-07
"ENSG00000124743.5",8.53529331544284,3.89666715201284,6.65804784283961e-09,1.93601629847051e-05
"ENSG00000156298.8",8.24555353592127,4.42358907571555,7.31469273059606e-09,1.93601629847051e-05
"ENSG00000129757.8",7.62158108589912,3.83255583995129,1.66801409605551e-08,3.92428116331993e-05
"ENSG00000130595.12",8.21302584490177,3.62465727908752,5.51662105268134e-08,0.000116808934169475
"ENSG00000236591.1",8.86786828823622,4.08087174255465,2.55833644636346e-07,0.000492456508320908
"ENSG00000180209.7",8.17521784813179,6.55637625959643,2.91123725232645e-07,0.000513687813173003
"ENSG00000227544.3",7.92551289193713,3.44589814444984,4.10555502713639e-07,0.000668700170342968
"ENSG00000225613.2",7.68530801970482,3.30425023947165,6.83116652445229e-07,0.00103316514277681
"ENSG00000108878.3",7.69803122335977,3.31301269744482,1.43495782542875e-06,0.0019135194196117
"ENSG00000149090.7",7.16478293662069,3.28937270453776,1.44593892102518e-06,0.0019135194196117
"ENSG00000129521.9",8.40019438933172,3.75134107732131,2.6167005537196e-06,0.00325917750143876
"ENSG00000253929.1",8.34023960456245,3.71092201654703,3.54779304121218e-06,0.00417338721414592
"ENSG00000239828.2",8.27492903036569,3.66751287022824,4.606613287439e-06,0.00513370682885439
"ENSG00000170222.10",5.46656210238604,5.20830316331867,5.20614321604399e-06,0.00551174382282577
"ENSG00000156885.4",8.0180499772657,4.11854244384912,5.55126677777891e-06,0.00559726298822336
"ENSG00000232439.1",8.19596890372362,3.61591014274858,6.62740967508708e-06,0.00637858056637699
"ENSG00000077522.8",8.14378287809261,3.58233936102014,8.37216958732638e-06,0.00739141320961854
"ENSG00000115593.10",6.55608703649084,2.82164805751928,8.37791239401364e-06,0.00739141320961854
"ENSG00000068615.11",7.0242092800843,2.96967056363661,9.21575698080685e-06,0.00780537753246417
"ENSG00000264345.1",8.10416872697117,3.55714321935967,9.84539176957522e-06,0.00801793558957637
"ENSG00000060140.4",6.44419374222841,2.81615317833302,1.04785007608311e-05,0.00821747315221618
"ENSG00000108639.3",7.06249727057564,3.91883423856765,1.11797647069867e-05,0.00845429778234776
"ENSG00000162496.4",7.59940720917451,3.45514526180411,1.28572016464414e-05,0.00938753060902588
"ENSG00000148950.5",5.85613173369895,6.92810701835912,1.44349152051963e-05,0.00986253607613684
"ENSG00000247095.2",8.0027870018903,3.48943977008286,1.44393415679721e-05,0.00986253607613684
"ENSG00000242085.1",7.94652687313265,3.4549760720603,1.86240202217e-05,0.0121525353236797
"ENSG00000186642.10",7.55732412062609,3.29595124841968,1.893991053563e-05,0.0121525353236797
"ENSG00000142920.12",6.79863120828722,2.87260741219959,2.13092601368852e-05,0.0132706551217179
"ENSG00000091482.5",6.7163607445447,3.21370841164477,2.31508929087765e-05,0.0140056287557267
"ENSG00000124491.11",6.56051458463036,7.55776862002447,2.39576652194994e-05,0.0140911000932689
"ENSG00000196811.7",6.69452031147394,2.82785190675249,2.53459065303856e-05,0.0145047087803888
"ENSG00000176371.9",5.38763217249793,3.54070127311808,2.71401221032284e-05,0.0151227617214147
"ENSG00000256306.1",7.81529239733468,3.37661767036402,2.92931000510514e-05,0.0157869136900123
"ENSG00000164603.7",5.62240693503892,2.81100258891096,2.9823205232856e-05,0.0157869136900123
"ENSG00000177303.5",6.22049541536139,2.98828132775447,4.0623815858047e-05,0.0201071985882471
"ENSG00000166748.8",7.27641230971097,3.16123102736184,4.0641227171833e-05,0.0201071985882471
"ENSG00000268896.1",7.69480534031346,3.31170669385435,4.11540453206238e-05,0.0201071985882471
"ENSG00000165887.7",7.6971139008551,3.30852210274348,4.17831651026199e-05,0.0201071985882471
"ENSG00000159173.13",6.93756831270843,8.36719331896474,4.68623440352817e-05,0.0220502949467345
"ENSG00000267059.1",6.74902060890481,2.89383696730828,5.52812793318895e-05,0.0254462132298571
"ENSG00000165633.7",7.20964088132157,3.05727664514432,5.76093300369897e-05,0.0256119772738896
"ENSG00000268518.1",7.32670075454552,3.42911567752144,5.80605888895201e-05,0.0256119772738896
"ENSG00000137496.13",7.5774621663389,3.24198984166177,6.07872048355702e-05,0.0260926948560626
