"","logFC","logCPM","PValue","FDR"
"Gene_1217",9.72596494018375,7.83787426049528,2.52010904457697e-08,4.40767071896513e-05
"Gene_1290",10.1770474258026,8.71320490337978,2.85589502242224e-07,0.000249748019710825
"Gene_0830",9.28060826134581,7.1915527244731,1.20780218702292e-06,0.000611851471966301
"Gene_0510",9.70381903504032,8.49121830696245,1.39931726007159e-06,0.000611851471966301
"Gene_1613",-8.9610154393525,10.2909956484704,4.28251852236694e-06,0.00149802497912395
"Gene_0236",6.37821725398857,8.70491248073756,9.58650987021221e-06,0.00257600149989597
"Gene_0116",6.82448068847279,7.88062288574277,1.03098973695093e-05,0.00257600149989597
"Gene_1015",-10.1173443121491,9.22859640486879,2.06644900157662e-05,0.00420748611423463
"Gene_0832",11.3579384267636,8.24012427778173,2.34739748124807e-05,0.00420748611423463
"Gene_0372",6.42747377159748,5.84024275840399,2.4056524380987e-05,0.00420748611423463
"Gene_0524",-10.4979532670098,8.43134841977747,3.45362259461219e-05,0.00549125992543339
"Gene_0916",8.63284852372171,5.65532204753802,4.04064544453094e-05,0.00588924073540385
"Gene_1087",9.67000058272499,6.60785429174516,5.7498825048074e-05,0.00773580346223703
"Gene_0898",9.62575936632111,7.50371155667242,9.18570480947397e-05,0.0110889187809288
"Gene_1937",8.95498928348794,7.16699565384424,9.51022193904703e-05,0.0110889187809288
"Gene_1701",-8.31406033436086,9.49198004970084,0.000112217154119588,0.0122667376596975
"Gene_1348",4.42469200818258,8.04070370454758,0.000124981466399197,0.012858387337188
"Gene_0276",9.77820191680857,6.7129958088154,0.000152189722724311,0.0147877680580455
"Gene_1685",9.45796184372983,6.41225780791091,0.000162136605844382,0.0149251012432539
"Gene_1131",4.97301481694119,7.98628391617162,0.000171835588525056,0.0150270222165161
"Gene_1689",10.0931456331245,7.61884493723994,0.000201369535932585,0.0164654149319718
"Gene_1637",7.71288621516945,4.87247643159308,0.000207112137509079,0.0164654149319718
"Gene_0346",8.13300553375391,6.3205870566631,0.000228605043340414,0.0173839226435819
"Gene_1643",9.62535901014211,7.76217903883875,0.000248064403670965,0.0180776934175216
"Gene_0815",9.18730849797912,7.07900112601408,0.000295059678383839,0.0203596601327641
"Gene_0460",-10.9552978738528,9.43903824689069,0.000302659327302382,0.0203596601327641
"Gene_0602",-10.2037015518646,9.35493177082609,0.000317238276731329,0.0205499905927072
"Gene_1484",9.90132519522975,7.237470877459,0.000329010040811042,0.0205513771920897
"Gene_0827",-9.4706776017813,8.7182891138411,0.000352456935300257,0.0212567993048327
"Gene_0298",-9.45501889660167,8.19385432821224,0.000368366192811316,0.0214757490408997
"Gene_0072",8.46654113429874,6.12474125858098,0.000403075374309907,0.0227412525699364
"Gene_0580",-8.04557829943709,9.10725264282868,0.000416308118123113,0.0227538405811664
"Gene_0086",7.22048023431974,5.56389544285877,0.0004804507693075,0.0241293428104661
"Gene_0033",7.6137059335006,5.54956227096347,0.000482163456414147,0.0241293428104661
"Gene_0731",9.50783916181194,6.79674487621208,0.000482862777796635,0.0241293428104661
"Gene_0260",8.23702913615293,6.55079641302502,0.000520075772446785,0.025267014611373
"Gene_1754",-6.88145135968188,9.57345216920358,0.000656844956072446,0.0310492385992083
"Gene_0558",6.10940781830486,5.66397400090655,0.000695669176953407,0.0313988927755708
"Gene_1822",-10.7847526370381,8.71408443579612,0.000716397115725358,0.0313988927755708
"Gene_0772",-10.7324269122929,8.66242939850771,0.000718099320196017,0.0313988927755708
"Gene_0834",-4.2782974260171,8.50610996157232,0.000774856169353484,0.032604237737374
"Gene_1162",4.80053090040158,8.44182312047615,0.000782949105185653,0.032604237737374
"Gene_1140",-7.47853367037176,9.73737447292176,0.00085840695817259,0.0349152039498572
"Gene_1256",-9.52920415253385,8.6187562833958,0.000926348874222175,0.0361014809002154
"Gene_0127",-10.8318466363572,8.76058362917222,0.000928854568616177,0.0361014809002154
"Gene_1660",-9.670858762913,7.62153358759121,0.00100132553990942,0.0380721384630778
"Gene_0476",-10.5097322471185,8.4428450159989,0.00106713385799895,0.0397110025029822
"Gene_1601",6.21483708526188,5.05208477438314,0.00109607710948197,0.0399383096767491
"Gene_0644",6.08785732084568,5.44128708322588,0.00114474127355453,0.0408602548458545
"Gene_1875",-9.55214312583255,8.8041922180408,0.00121078103336278,0.04235312054703
"Gene_0828",-9.62682900940863,8.38852577358147,0.00144027741431262,0.0493930430908388
"Gene_1749",7.90820353762223,6.75746430008882,0.00157877542272431,0.052369981461733
"Gene_1780",-10.0595524542867,8.00069475821005,0.00158696913520403,0.052369981461733
"Gene_1465",-10.6873912067814,8.61794069011826,0.00179616982495173,0.0581759448859365
"Gene_1776",-8.65594393652892,8.85283244939163,0.00188854358671819,0.0600556860576385
"Gene_1304",-6.80061385545832,7.69185931432865,0.0020814757887458,0.0650089491877931
"Gene_1324",-8.27260334286092,6.28580316099283,0.00233109482214066,0.0715278042793686
"Gene_1363",-11.1490031432468,9.07424477489454,0.00289494360798253,0.0839895138490035
"Gene_1852",-8.93212423226388,9.18128942179903,0.00293172726806891,0.0839895138490035
"Gene_0675",-6.82775864136384,8.26813867223396,0.00297998203689443,0.0839895138490035
"Gene_0804",-7.77338560205493,9.12708668700649,0.00301682842110637,0.0839895138490035
"Gene_1187",-8.65387507609651,8.77076214268618,0.00303004167208172,0.0839895138490035
"Gene_0357",5.22226688099252,4.20905321856851,0.00306673876098969,0.0839895138490035
"Gene_1110",-8.4072671036851,9.51443059880204,0.00309461459294883,0.0839895138490035
"Gene_1333",-6.98166639904569,8.84669900915317,0.00312139416820196,0.0839895138490035
"Gene_1464",5.35541077017612,4.27628489044995,0.00343494858369001,0.0910261374677853
"Gene_0999",-7.67263060947565,7.62945337607487,0.0034877035182688,0.0910446784097333
"Gene_1289",3.22903394058756,2.69589670615746,0.00395269714600636,0.10136255222995
"Gene_1834",-9.07365471344425,8.65288991492579,0.00412796279004639,0.10136255222995
"Gene_0311",-10.758056569252,8.68779802647174,0.00415897051504593,0.10136255222995
"Gene_0385",-7.47577007090742,7.35773316074133,0.00416437671773462,0.10136255222995
"Gene_1147",-7.39222334125302,9.30798095673072,0.0041941354928199,0.10136255222995
"Gene_0477",-9.67188004629903,7.62252229885568,0.00423068399816259,0.10136255222995
"Gene_1820",-10.794835431545,8.72387468214761,0.00448423010879658,0.105985384598449
"Gene_1733",-8.49199519702946,7.73135955750356,0.00489482047343466,0.114147213440496
"Gene_1839",-8.69882643014783,7.45939122475982,0.00496867176351565,0.114344827820906
"Gene_1420",-10.0193595112551,9.24978143088309,0.00507709536103604,0.114555823655284
"Gene_0205",-10.0240283537549,7.96602914072917,0.00510883604637631,0.114555823655284
"Gene_0859",-8.35993346398682,9.24194552740142,0.00527602504535763,0.116807187396588
"Gene_1882",-8.94931386897995,8.21185850537044,0.00539564657534134,0.117837919769336
"Gene_0712",-7.91280382666594,7.43491400116166,0.00545733076118707,0.117837919769336
"Gene_1679",-5.41316901397683,8.03835181546993,0.00580889171733867,0.12218487136889
"Gene_0052",-9.90060105373576,8.30844972937786,0.00585485694864319,0.12218487136889
"Gene_1497",-10.358610131186,8.29415364927108,0.00589870473730305,0.12218487136889
"Gene_0949",7.99514929935545,7.09910690348192,0.00595979132959709,0.12218487136889
"Gene_0199",-4.94706809311506,7.35718698787956,0.00600794679115183,0.12218487136889
"Gene_0991",-6.88864607053948,7.79808042170919,0.00612244218092281,0.122984181390575
"Gene_1374",-7.20456387899664,8.29475061944173,0.00628061169496021,0.122984181390575
"Gene_0774",6.1601651138385,6.82295351450966,0.00630669848225573,0.122984181390575
"Gene_1220",6.12103180325093,5.70299428528982,0.00632851705268827,0.122984181390575
"Gene_0971",-8.58792849407073,7.37605509155196,0.00645553454699524,0.124073955194447
"Gene_1174",-7.09505491864005,8.24397252155904,0.00682478182410461,0.129745037069119
"Gene_1337",-5.32247182461672,10.1182230970598,0.00715762145528051,0.134609461562211
"Gene_1061",4.94099423202872,3.4171010929878,0.00731786733342617,0.136159042193217
"Gene_0705",-10.9715939258178,8.89870357141473,0.00766882190657004,0.139965271371285
"Gene_0938",-9.70829679812155,7.65777899886987,0.00774401500821119,0.139965271371285
"Gene_1319",5.1842370204894,6.33907833349885,0.0078333138835699,0.139965271371285
"Gene_0448",5.23182420113821,7.11474196814714,0.00786688145772513,0.139965271371285
"Gene_0243",-8.08261422915387,6.1099548028386,0.00792256253045011,0.139965271371285
"Gene_1054",-9.79795210866449,8.90024797768501,0.0081513987367389,0.142567963905563
"Gene_1392",-9.55412758846509,7.50812474080909,0.00848641582668946,0.145925972728801
"Gene_1335",-10.0347281876593,8.7489991155889,0.00851026256051325,0.145925972728801
"Gene_0430",-9.87026361240955,7.81602404408313,0.00869247230489486,0.146968110408109
"Gene_0257",-10.8048480321251,8.73398087515367,0.0087390986177492,0.146968110408109
"Gene_0078",-6.99210958356545,7.74613351706702,0.00889364677284908,0.148108048471443
"Gene_1567",-9.66869740881049,8.18332297333158,0.00897624536190563,0.148108048471443
"Gene_1571",-9.34871821153707,8.08798905819292,0.00933004135327501,0.152506937634374
"Gene_1564",-9.35518290472712,8.39159758950877,0.00953213295035307,0.154108995710963
"Gene_1299",5.16719567843958,9.3026287533907,0.00971763144678662,0.154108995710963
"Gene_0515",-6.82383420507018,7.88864059298311,0.00980408045307599,0.154108995710963
"Gene_1821",-8.92582203188026,7.70576109643541,0.00985452195971901,0.154108995710963
"Gene_0042",-5.39786895654716,8.56922061042669,0.00986861493403535,0.154108995710963
"Gene_0559",2.09123704370447,3.24790139081587,0.00999296185030316,0.154669825452922
"Gene_0053",-10.0942474713704,8.0351577429038,0.0104049078637137,0.159633191698555
"Gene_0883",-9.69882704883658,7.64882662477585,0.0105972931863622,0.160580265987657
"Gene_1874",-8.14980305813124,6.17307489692369,0.0107237569133353,0.160580265987657
"Gene_0076",-10.2296513823905,8.16798762989361,0.0108932428522151,0.160580265987657
"Gene_0462",-7.65861061545506,8.27143153809149,0.0109639790025232,0.160580265987657
"Gene_0453",-6.55820692716032,9.34726710266968,0.0109894486777692,0.160580265987657
"Gene_1165",5.63460214901073,7.9649003517331,0.0110333231249792,0.160580265987657
"Gene_1038",-7.40189345137879,7.65611421937736,0.0111342090219673,0.160580265987657
"Gene_0846",-8.68639636780957,6.67487905593872,0.0114090451706593,0.160580265987657
"Gene_1125",5.8369610449094,7.38205484247021,0.0115237495938255,0.160580265987657
"Gene_1738",6.36322480828012,5.25145778344923,0.0115763564296407,0.160580265987657
"Gene_0657",-6.86710158531572,7.97801586440114,0.0116104040446309,0.160580265987657
"Gene_1505",4.27294191668102,4.13405494097853,0.0116161585659334,0.160580265987657
"Gene_1592",-6.53861680763417,8.05256190764162,0.0116602022758333,0.160580265987657
"Gene_0681",6.05769456120137,7.21369452788173,0.0126269577709432,0.17162198500942
"Gene_1373",3.87504359904169,5.86365263470774,0.0126582253094427,0.17162198500942
"Gene_1293",-8.76396567941478,7.88400223965716,0.0132797304878164,0.178663450947623
"Gene_0760",-9.03255280310603,8.12521198654797,0.0135889777849452,0.181428413327246
"Gene_0755",4.1957773239225,8.29581309506648,0.0142932244229904,0.189385223604622
"Gene_0299",-5.20775242221808,6.087328416168,0.0148013718006835,0.193682935871444
"Gene_0302",-2.43646777339857,10.2758246300362,0.0150233145992184,0.193682935871444
"Gene_1066",3.76666552855902,4.51927862565088,0.0151591239311338,0.193682935871444
"Gene_1481",3.78174930251356,7.52643848925474,0.0153031239098975,0.193682935871444
"Gene_1753",-8.98971331017129,8.00924525627862,0.0153081889397313,0.193682935871444
"Gene_0648",-9.4431200207448,8.37297312313563,0.015345966277597,0.193682935871444
"Gene_1467",-7.18123313450161,8.57411751228477,0.0153927547662268,0.193682935871444
"Gene_1393",3.91002768767623,4.86426243651065,0.0156414664776926,0.195069901578099
"Gene_0262",-9.20934033392262,7.17454383403467,0.0157859336143734,0.195069901578099
"Gene_0790",3.95201596864424,3.1421625880204,0.0158375792018811,0.195069901578099
"Gene_0713",-9.16123981538646,7.12831336392538,0.0161140191444104,0.197086849535481
"Gene_0095",-7.76685424008799,5.82127023259744,0.0164324772714598,0.199586130192939
"Gene_1379",-9.30274577197083,8.5188206237079,0.0170649247821056,0.205355743736602
"Gene_1948",-8.36941829564506,6.89046879947457,0.0171882444709374,0.205355743736602
"Gene_1046",-9.99866636145839,7.94071148889594,0.0173513318280527,0.205355743736602
"Gene_1538",-7.4750465723929,8.96347385647791,0.0173771584179629,0.205355743736602
"Gene_0422",-8.52501845675117,6.51943903188817,0.0175796744728497,0.206089953094114
"Gene_0034",-10.5502435421783,8.48264702086794,0.0177315664566108,0.206089953094114
"Gene_0776",2.84531757361058,10.8040094479712,0.0177927861161871,0.206089953094114
"Gene_1590",-9.29463611023746,7.25702001254914,0.018687895852067,0.213668975273141
"Gene_1976",-9.90453905251024,7.84927943204341,0.0186914540976504,0.213668975273141
"Gene_1830",4.12490379208955,8.19448614374188,0.0191230711617822,0.21718345105167
"Gene_1044",5.55785420187144,6.35717311100881,0.0193929826842869,0.218827914289147
"Gene_0808",-6.70108174927994,8.83527008236178,0.0198283841901593,0.222306691978133
"Gene_0626",-8.88703253432298,7.82816308271398,0.0201914814846219,0.224935675901934
"Gene_1896",-8.28283516700425,7.15636721175004,0.0206216166690291,0.225151122943963
"Gene_0389",-9.79874364105287,8.26838585136037,0.0208588082903993,0.225151122943963
"Gene_1529",2.53197322916843,2.60954997484525,0.020990642602495,0.225151122943963
"Gene_1130",-5.94902840134819,8.8390585141105,0.0210971627251881,0.225151122943963
"Gene_1028",-3.55354129697891,7.22895676459475,0.0211404907117025,0.225151122943963
"Gene_0673",-7.32859907666416,7.86804186088108,0.0212548336612879,0.225151122943963
"Gene_0383",-7.83105833963391,7.10860770280768,0.0212841536207372,0.225151122943963
"Gene_1554",-4.09302746636627,8.38216884536459,0.0215124194524746,0.225151122943963
"Gene_0080",-6.33417257419887,8.07109904766713,0.0216133700119703,0.225151122943963
"Gene_1226",-3.48224431893719,9.56354067404554,0.022073110736385,0.225151122943963
"Gene_1371",-5.8551187586343,6.47781648223855,0.0221003327187939,0.225151122943963
